row_no,persona_id,attempt_no,status,started_at,finished_at,duration_ms,error_code,provider_request_id,model,prompt_version,usage_json
1,ILB_99e0969c5f36af22,1,failed,2026-09-21 05:04:18.951504+00,2026-09-21 05:04:18.993279+00,,SERVER_ERROR,,gpt-5.6-terra,purchase-intent-zh-v1,
1,ILB_99e0969c5f36af22,2,succeeded,2026-09-21 05:04:24.039251+00,2026-09-21 05:04:24.046177+00,12850,,resp_00c52dc3643deef4016ab0bae3b67887d2bca382d9dd611960,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5286, ""output_tokens"": 122}"
2,ILB_2756fd40a10e6a36,1,succeeded,2026-09-21 05:04:18.952324+00,2026-09-21 05:04:19.001265+00,13273,,resp_0ae1d83b41524f15016ab0baf0fb4087d2847052c53d034e96,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5290, ""output_tokens"": 187}"
3,ILB_4a43d9cca276dfef,1,succeeded,2026-09-21 05:04:18.952884+00,2026-09-21 05:04:19.00713+00,13886,,resp_ft_bd08d74c8b2fdf55111de2ef465fb4aa,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4457, ""output_tokens"": 145}"
4,ILB_69ffbc388eec14eb,1,succeeded,2026-09-21 05:04:18.95311+00,2026-09-21 05:04:19.01521+00,7495,,resp_02c8f2819b005860016ab0badc785087d2a176ed01c0d17b7a,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5288, ""output_tokens"": 165}"
5,ILB_8fd1b31071793204,1,succeeded,2026-09-21 05:04:18.953242+00,2026-09-21 05:04:19.018743+00,18313,,resp_ft_e7f83d2ff829353a8f8d0ad35bbc0c40,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4464, ""output_tokens"": 149}"
6,ILB_89b53717d50aa732,1,succeeded,2026-09-21 05:04:18.952695+00,2026-09-21 05:04:19.026903+00,10298,,resp_0a5ff243fa8eb0f3016ab0badc84b487d2b84e23be03f56fd4,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5298, ""output_tokens"": 170}"
7,ILB_8a9252894bc22088,1,succeeded,2026-09-21 05:04:18.953632+00,2026-09-21 05:04:19.034423+00,11645,,resp_ft_9c85f787d5d90c225842e54b4ca368e7,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4458, ""output_tokens"": 197}"
8,ILB_46f62739c8e6e5b8,1,succeeded,2026-09-21 05:04:18.95378+00,2026-09-21 05:04:19.04537+00,5780,,resp_ft_fc291390f4659b1080e3f2721ad1bd4d,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4455, ""output_tokens"": 153}"
9,ILB_4f3d203e16a1e1e7,1,succeeded,2026-09-21 05:04:18.954179+00,2026-09-21 05:04:19.050565+00,6151,,resp_06fcb5a06bf35cb8016ab0badc6c1c87d28ab13b6394f47257,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5302, ""output_tokens"": 140}"
10,ILB_753599de60fe02e4,1,failed,2026-09-21 05:04:18.952508+00,2026-09-21 05:04:19.053994+00,,SERVER_ERROR,,gpt-5.6-terra,purchase-intent-zh-v1,
10,ILB_753599de60fe02e4,2,succeeded,2026-09-21 05:04:25.047691+00,2026-09-21 05:04:25.054581+00,6441,,resp_ft_5534f2081ef75f791a9f45f4e24a2744,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4453, ""output_tokens"": 172}"
11,ILB_3735376d7199ac61,1,succeeded,2026-09-21 05:04:18.958947+00,2026-09-21 05:04:19.058512+00,72524,,resp_0b41d5c8c8a3a875016ab0bae4008487d28a688b1fb0910392,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5289, ""output_tokens"": 150}"
12,ILB_d8e3b01d5c16aeea,1,failed,2026-09-21 05:04:18.958455+00,2026-09-21 05:04:19.067724+00,,SERVER_ERROR,,gpt-5.6-terra,purchase-intent-zh-v1,
12,ILB_d8e3b01d5c16aeea,2,succeeded,2026-09-21 05:04:26.047238+00,2026-09-21 05:04:26.055457+00,21884,,resp_ft_f0b30b875f65fa70c490bf67302c7626,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4442, ""output_tokens"": 151}"
13,ILB_43661961166c94a3,1,succeeded,2026-09-21 05:04:18.958874+00,2026-09-21 05:04:19.061111+00,12603,,resp_0d8f0aa194123d52016ab0badd546087d2a36cb030cd8068de,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5369, ""output_tokens"": 156}"
14,ILB_3d0011780b019ca6,1,succeeded,2026-09-21 05:04:18.96082+00,2026-09-21 05:04:19.064635+00,10342,,resp_ft_db97bf927dd8ab7277c5603d5be1f1d8,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4547, ""output_tokens"": 222}"
15,ILB_8da72f3ed7cebe81,1,succeeded,2026-09-21 05:04:18.960644+00,2026-09-21 05:04:19.071527+00,12468,,resp_ft_21d72966859dd9b299b02e78ca1552c5,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4546, ""output_tokens"": 156}"
16,ILB_326ec903f69ee67d,1,succeeded,2026-09-21 05:04:18.958597+00,2026-09-21 05:04:19.075817+00,10481,,resp_ft_f32de77c0552ca399ebd3e59afab59bd,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4559, ""output_tokens"": 236}"
17,ILB_a95d8f3da89b306d,1,failed,2026-09-21 05:04:18.958799+00,2026-09-21 05:04:19.010722+00,,SERVER_ERROR,,gpt-5.6-terra,purchase-intent-zh-v1,
17,ILB_a95d8f3da89b306d,2,succeeded,2026-09-21 05:04:33.080423+00,2026-09-21 05:04:33.087922+00,9927,,resp_0eb9ba40b00a3eb2016ab0baf74c7087d2b2d8b931e7081c7d,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 5375, ""output_tokens"": 138}"
18,ILB_1bcfdbee972b1f90,1,succeeded,2026-09-21 05:04:18.958703+00,2026-09-21 05:04:19.022459+00,40934,,resp_ft_c11971656c12900385f6ec6d893b8fd3,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4532, ""output_tokens"": 172}"
19,ILB_432043a6c586139d,1,succeeded,2026-09-21 05:04:18.960916+00,2026-09-21 05:04:19.030625+00,16026,,resp_ft_e0c263c97690c23e400c0ae6491b16f0,gpt-5.6-terra,purchase-intent-zh-v1,"{""input_tokens"": 4538, ""output_tokens"": 224}"
